product_url|product_name|product_variety|product_origin|product_family|user_avg_rating|user_rating_count|winemaker_description|reviewer_name|reviewer_rating|reviewer_text
https://www.wine.com/product/quinta-do-portal-grande-reserva-tinto-2016/600039|Quinta do Portal Grande Reserva Tinto 2016|Other Red Blends| from Douro, Portugal|Red Wine|4.1|40|A big wine from a great year! The harvest of 2016 delivered fruity but very serious wines. It’s dark in color  with very complex aromatic profile  ripe red fruits  blackberries and dark cherry. Fresh on the mouth  with serious but round tannins  and a toasted note in complement to the fruit. The finish is long and complex  telling us that cellaring this wine a few more years will be a good decision. However we shouldn't lose the opportunity to enjoy it also right now  with all its irreverent youth coming through the glass.|Wine Enthusiast|94|rich impressively dense wine vintage exceptional poise richness opulent black fruits tannins great concentration approaching readiness preferably wait late 2020 drink
https://www.wine.com/product/quinta-do-portal-grande-reserva-tinto-2016/600039|Quinta do Portal Grande Reserva Tinto 2016|Other Red Blends| from Douro, Portugal|Red Wine|4.1|40|A big wine from a great year! The harvest of 2016 delivered fruity but very serious wines. It’s dark in color  with very complex aromatic profile  ripe red fruits  blackberries and dark cherry. Fresh on the mouth  with serious but round tannins  and a toasted note in complement to the fruit. The finish is long and complex  telling us that cellaring this wine a few more years will be a good decision. However we shouldn't lose the opportunity to enjoy it also right now  with all its irreverent youth coming through the glass.|Wine Spectator|93|vibrant medley cherry tart raspberry reduction flavors marks powerful charming red accents licorice floral dusty tannins meld mineral bergamot tea notes finish best 2020 2028
https://www.wine.com/product/quinta-do-portal-grande-reserva-tinto-2016/600039|Quinta do Portal Grande Reserva Tinto 2016|Other Red Blends| from Douro, Portugal|Red Wine|4.1|40|A big wine from a great year! The harvest of 2016 delivered fruity but very serious wines. It’s dark in color  with very complex aromatic profile  ripe red fruits  blackberries and dark cherry. Fresh on the mouth  with serious but round tannins  and a toasted note in complement to the fruit. The finish is long and complex  telling us that cellaring this wine a few more years will be a good decision. However we shouldn't lose the opportunity to enjoy it also right now  with all its irreverent youth coming through the glass.|Robert Parker's Wine Advocate|90|2016 grande reserva mostly 60 30 blend touriga nacional tinta roriz 10 touriga franca aged 14 months new french oak comes 14 alcohol despite lower alcohol perception adds extra concentration compared regular reserva plus power tannins rather ripe though easygoing reserva ready grande reserva might benefit year two cellar still great grande reserva issue like reserva bit understated also like reserva wonderfully fresh easy drink food elegant wine
https://www.wine.com/product/vinos-de-arganza-flavium-seleccion-mencia-2020/1172724|Vinos de Arganza Flavium Seleccion Mencia 2020|Mencia| from Bierzo, Spain|Red Wine|4.7|21|Intense ruby color  with ripe blackberry and blueberry aromas and beautifully balanced smoky cedar oak notes. These red fruit notes transpire onto a silky smooth  mouth wateringly juicy  herbal rounded palate leaving a persistent ending taste.Ideal when paired with red meats and cheeses.|Wilfred Wong of Wine.com|91|commentary 2020 vinos de arganza flavium bright lively red wine tasting notes wine offers aromas flavors ripe fruits hints flowers black fruits shading oak serve meat stews tasted december 6 2022 san francisco ca
https://www.wine.com/product/lungarotti-rubesco-2019/929639|Lungarotti Rubesco 2019|Other Red Blends| from Umbria, Italy|Red Wine|4.0|7|Deep ruby red with slight violet hues. Delicate and with good intensity  elegant complexity with hints of pepper  cinnamon and tobacco. Background notes of red-fruit jam and violet. A wine with solid structure and superb concentration  it evolves with fresh acidity  austere  balanced tannins with a fruity and slightly mineral finish.Ideal pairings include T-bone steak  BBQ with spicy sauce  beef fillet with balsamic condiment and extra virgin olive oil  and roast beef with roast potatoes.|James Suckling|92|ripe plums cherries nose together hints walnuts light coffee medium full bodied silky mouth feel rich fruit fine tannins give little pull finish sangiovese colorino
https://www.wine.com/product/dutton-goldfield-cherry-ridge-vineyard-syrah-2016/1150541|Dutton-Goldfield Cherry Ridge Vineyard Syrah 2016|Syrah/Shiraz| from Russian River, Sonoma County, California|Red Wine|5.0|14|As with all the wines this vintage  there’s a friendly forwardness to this Syrah  which shows in the exuberant bright boysenberry fruit that leads the nose. The characteristic leather and sandalwood savory notes back up the fruit  along with some pretty purple flower aromas of violet and wisteria. In the glass  the densityand richness of the wine is apparent  and the mouth delivers that promise  withblackberry pie framed by white pepper and cedar  along with a touch of grilled meat adding a wild element to the flavors. Firm but round tannins carry the juicy fruit and dusky spice to a lengthy finish. Grilled meats come to mind first as excellent matches  such as spare ribs  grilled lamb  or Carolina pulled pork. A tangy and creamy cheese brings out the sweet fruit and texture of the wine beautifully. We love a goat Gouda  Bellwether’s Pepato  and a mild Camembert.|Wine & Spirits|95|grows three acres syrah top south facing ridge vines ripen fruit otherwise cool spot variety western green valley northern reaches petaluma gap last fruit dan goldfield harvested 2016 destemmed left five day cold soak fermenting small open top vats course 23 months oak barrels 40 percent new wine developed layers darkness light cool feel coastal forest think armstrong woods fragrant restraint tension far coast pinot noir deeper syrah tone damson plum fruit inner tension sustain freshness wine develops age
https://www.wine.com/product/dutton-goldfield-cherry-ridge-vineyard-syrah-2016/1150541|Dutton-Goldfield Cherry Ridge Vineyard Syrah 2016|Syrah/Shiraz| from Russian River, Sonoma County, California|Red Wine|5.0|14|As with all the wines this vintage  there’s a friendly forwardness to this Syrah  which shows in the exuberant bright boysenberry fruit that leads the nose. The characteristic leather and sandalwood savory notes back up the fruit  along with some pretty purple flower aromas of violet and wisteria. In the glass  the densityand richness of the wine is apparent  and the mouth delivers that promise  withblackberry pie framed by white pepper and cedar  along with a touch of grilled meat adding a wild element to the flavors. Firm but round tannins carry the juicy fruit and dusky spice to a lengthy finish. Grilled meats come to mind first as excellent matches  such as spare ribs  grilled lamb  or Carolina pulled pork. A tangy and creamy cheese brings out the sweet fruit and texture of the wine beautifully. We love a goat Gouda  Bellwether’s Pepato  and a mild Camembert.|Wine Enthusiast|93|site western edges appellation wine spent 23 months french oak 40 new baked plum raspberry blueberry fruit match core gamy intensity elements iron leather violet texture layered thick
https://www.wine.com/product/dutton-goldfield-cherry-ridge-vineyard-syrah-2016/1150541|Dutton-Goldfield Cherry Ridge Vineyard Syrah 2016|Syrah/Shiraz| from Russian River, Sonoma County, California|Red Wine|5.0|14|As with all the wines this vintage  there’s a friendly forwardness to this Syrah  which shows in the exuberant bright boysenberry fruit that leads the nose. The characteristic leather and sandalwood savory notes back up the fruit  along with some pretty purple flower aromas of violet and wisteria. In the glass  the densityand richness of the wine is apparent  and the mouth delivers that promise  withblackberry pie framed by white pepper and cedar  along with a touch of grilled meat adding a wild element to the flavors. Firm but round tannins carry the juicy fruit and dusky spice to a lengthy finish. Grilled meats come to mind first as excellent matches  such as spare ribs  grilled lamb  or Carolina pulled pork. A tangy and creamy cheese brings out the sweet fruit and texture of the wine beautifully. We love a goat Gouda  Bellwether’s Pepato  and a mild Camembert.|Wine Spectator|92|deeply structured yet retains finesse offering smoked meat blueberry grilled sweet anise flavors build tension toward medium grained tannins best 2023 2030
https://www.wine.com/product/vinos-de-arganza-lagar-de-robla-premium-mencia-2020/878244|Vinos de Arganza Lagar de Robla Premium Mencia 2020|Mencia| from Bierzo, Spain|Red Wine|4.5|43|Intense  dark-cherry color with spices and red-fruit aromas. Flavors of ripe blackberries and blueberries with a touch of oak. Good balance and backbone on the palate.|James Suckling|91|blueberries plums violets walnut husk dried orange peel grilled herbs nose medium bodied grainy tannins fresh acidity pretty finish bitter chocolate walnut notes
https://www.wine.com/product/jean-marc-burgaud-morgon-cote-du-py-javernieres-2020/1022619|Jean-Marc Burgaud Morgon Cote du Py Javernieres 2020|Gamay| from Beaujolais, Burgundy, France|Red Wine|4.2|5|This is a well-structured wine  redolent of black fruits (mulberries and cherries). Carbonic maceration of the whole berries lasts 12 to 15 days  aand the wine is raised in barrel as well as tank. Jean-Marc's wines are all very bright and pure. Incredible value down the line as Burgaud wines are underpriced compared to other cru Beaujolais producers  especially considering the quality.|James Suckling|94|dark meaty smoky wet earth undertone bold fleshy morgon packs punch long moderately dry savory finish beginning open surely many years ahead drink hold
